athlete_id,rank,discipline,season,date,event_id,event_location,d_cat,firstname,lastname,age,gender,country,height,arm_span,paraclimbing_sport_class,birthday,keep
14,1,lead,2024,2024-09-28,1391,Arco (TN),585,Korbinian,FRANCK,35.0,male,GER,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,True
24,2,lead,2024,2024-09-28,1391,Arco (TN),577,Kevin,BARTKE,38.0,male,GER,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,True
16,19,lead,2023,2023-08-10,1338,Bern,585,Marcel,RICHTER,36.0,male,GER,150.0,,"Limited Range, Power & Stability 1: RP1",1988-07-11,True
11675,10,boulder,2024,2024-04-20,1350,Keqiao,7,Mejdi,Schalck,20.0,male,FRA,172.0,,,2004-05-07,True
11675,6,boulder,2024,2024-05-26,1351,Salt Lake City,7,Mejdi,Schalck,20.0,male,FRA,172.0,,,2004-05-07,True
11675,3,boulder,2024,2024-06-29,1352,Innsbruck,7,Mejdi,Schalck,20.0,male,FRA,172.0,,,2004-05-07,True
11675,4,boulder,2024,2024-09-22,1353,Prague,7,Mejdi,Schalck,20.0,male,FRA,172.0,,,2004-05-07,True
11675,14,boulder,2024,2024-10-06,1354,Seoul,7,Mejdi,Schalck,20.0,male,FRA,172.0,,,2004-05-07,True
11675,19,lead,2024,2024-10-06,1354,Seoul,7,Mejdi,Schalck,20.0,male,FRA,172.0,,,2004-05-07,True
13021,8,boulder,2024,2024-05-06,1313,Salt Lake City,7,Annie,Sanders,16.0,female,USA,162.0,,,"2007-07-22",True
13021,4,boulder&lead,2024,2024-10-26,1314,Santiago,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
13021,5,boulder,2024,2024-10-26,1315,Santiago,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
13021,3,lead,2024,2024-09-07,1316,Koper,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
13021,7,lead,2024,2024-07-14,1317,Chamonix,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
13021,3,boulder,2024,2024-06-30,1318,Innsbruck,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
13021,6,lead,2024,2024-06-30,1319,Innsbruck,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
13021,8,boulder&lead,2024,2024-08-11,1320,Paris,7,Annie,Sanders,17.0,female,USA,162.0,,,"2007-07-22",True
11468,3,boulder,2024,2024-10-06,1321,Seoul,7,Erin,MCNEICE,21.0,female,GBR,162.0,,,2002-07-15,True
11468,10,boulder,2024,2024-09-22,1322,Prague,7,Erin,MCNEICE,21.0,female,GBR,162.0,,,2002-07-15,True
11468,6,lead,2024,2024-09-07,1323,Koper,1,Erin,MCNEICE,21.0,female,GBR,162,,,2002-07-15,True
11468,5,boulder&lead,2024,2024-08-11,1324,Paris,7,Erin,MCNEICE,21.0,female,GBR,162.0,,,2002-07-15,True
11468,3,boulder&lead,2024,2024-06-23,1325,Budapest,7,Erin,MCNEICE,21.0,female,GBR,162.0,,,2002-07-15,True
11468,3,boulder&lead,2024,2024-05-19,1326,Shanghai,7,Erin,MCNEICE,21.0,female,GBR,162.0,,,2002-07-15,True
11468,5,lead,2024,2024-04-14,1327,Wujiang,7,Erin,MCNEICE,21.0,female,GBR,162.0,,,2002-07-15,True
